hviske,file
"Det, man måske mere efterspørger, det er, at medierne i højere grad beskriver etnicitet og herkomst fra de dommefelte, det er jo sådan set ikke, det er jo sådan set i folketingets bord her.Jeg må gøre opmærksom på, at retsplejen i Danmark, som aldrevejende udgangspunkt er offentlig, at domme er offentlige, det er flere hundrede år siden, vi havde hemmelige domme, og skulle man være helt i tvivl, kan man gå sig en tur på.I byretten og kik på retslisterne, så får man jo også set, hvem det er, der er tiltalt, og det tror jeg, det kræver megen fantasi at finde ud af, er herkomsten i givet fald, så der er jo ikke noget, der holder skjult, men det, man ønsker, er måske, at der ligesom skal skrives et manuskript til aviserne, det må pressen have sig selv findet ud af, efter min mening. Og så vidt jeg kan se på forslaget her, så indebærer det to ting, nemlig at man ønsker, at politiet altid oplyser et pressissignalement ved udgivelse af døgnrapporter eller omtale af specifikke hændelser, det er den en anledning, der skal være forløbende, men det er en anledning, der ikke kan straffes på normal vis, det kan være mentalt handicappede personer og lignende, som så pludselig der skal et præcis sine allemange ud af, og det til trods for, at politiet sikkert udmærker ved, h, det er jo det, der står i retsperiodens paragraf otte hundrede og atten, det er jo et efterforskningsskridt, som justitsministeren jo også var inde på, hvis man ved hvem det er, så er det jo ikke det, man skal diskutere.Så jeg vil nok sige, at forslagets første lede betyder altså, at der skal sige en alleman af alle gamle som ældre, og også dem, man i forvejen ved hvem er, men er dem så ikke ude på at give en ekstra straf, er det ikke det, vi skal lave om på, så i givet fald, hvis det er det, der skal diskuteres.Det andet element har det, det er, at regeringen skal udarbejde initiativer, som sikrer, at politi domstoler journaliserer et præcisignalement af anholdte, mistænkte, sigtede, tiltalte og dømte.Jeg kan kun sige til de partier, som ellers mener, at domstolene fungerer, at det er rimeligt langsomt, og det tror jeg nok, at de fleste af os mener, at hvis dommerne skal belastes med det her arbejde oveni, så skal vi løse den.Så derfor mener vi ikke, at der er behov for det, der anføres i beslutningsforslaget, og det får derfor ikke venstres stemme.Han kører bemærkning til herrer Mikkel Bjørn, dansk folkepræsid.",Preben Bang Henriksen_video_44_start_3-04-20
" ikke det er så nogle udtryk, der vil kendetegne den nye ældrelov, som bliver lagt på bordet, for så kan jeg sige på forhånd, så står dansk voldsparti af. Altså, en ældrelov skal indeholde noget, som man kan forstå, flersprogspædagogik, altså jeg må bede ordføreren om at glemme det ord, og så sige stadigvæk, at de nationale standarder, jamen, det har jo ikke spor at gøre med bureaukrati, eller tværtimod, vil jeg sige, dette er den nationale standard på, at man skal kunne sproget, tværtimod, det er af bureaukratisering. Hvorfor?",Pia Kjærsgaard_video_44_start_6-33-24
"Det er faktisk en lidt unik situation i Danmark, for vi har fået en midterregering bestående af tre forskellige partier, og det er ikke min opfattelse, at de enkelte partier, der lige nu er i regeringen, egentlig har ændret deres politik, når det kommer til udlændingeområdet, men til gengæld er gået på kompromis i forhold til de politiske afgørelser og i forhold til de udspillelser, som kommer fra regeringen af.Hvad er skolens spørgsmål?Det er fuldstændig rigtigt.",Sandra Elisabeth Skalvig_video_41_start_3-54-25
"Det er jo fair nok, man er uenige i, at man skal bruge mere tid til at få flere domme, hvis ikke at formalitisen nu på den korte tid her er blevet tilhænger af, at vi skal have med viden om den her lovgivning med udgangspunkt i, og finde ud af hvordan vi kan gøre noget.Der er ikke noget, der tyder på, at den kritik, som formalitisen rejser i forhold til det her lovforslag, har noget på sig.Der er både kommet en vurdering fra faristadvokaten og fra statsadvokaten, og den er jeg meget, meget tryg ved at læge dem opad.Spørgeren.",Bjørn Brandenborg_video_44_start_4-03-31
"Vi har simpelt hen ikke nogen problemer med straffel i eneslisten, og nu er herre Mikkel Bjørn jo medforslagstillet på et forslag, vi skal diskutere hende i morgen, som også handler om en straf, og jeg er til hverdag også retsordfører i eneslisten, og i morgen tænker jeg, at jeg lige kan lægge en lille post-it ned hos herre Mikkel Bjørn, så han kan se, hvor mange gange eneslisten har været med til at hæve straffene for for eksempel økonomisk kriminalitet, for for eksempel digitale krænkelser, men det kan godt være, at herre Mikkel Bjørn heller ikke kan læse det, det skal jeg jo ikke kunne svare på.",Rosa Lund_video_41_start_4-11-30
"Jeg er ikke til at løse de sproglige, svage elever.Næste korte bemærkninger til fru Marlene Hapsø, danmarksdemokraterne.",Fie Hækkerup_video_44_start_6-34-02
"Jeg mener faktisk, at vi har en meget stor opgave i at hjælpe og vejlede og rådgive vores virksomheder i brugen af kunstig intelligens.Men der hvor uenigheden opstår, det er, om vi skal anlægge et udvidet forsigtighedsprincip i forhold til kunstig intelligens forordning.Jeg mener, at det vejledning og rådgivning, vi giver vores virksomheder offentlige myndigheder, de skal følge forordningen, og hvad enden for rammer det, vi kan ikke begynde at lave nogle andre retningslinier eller tillægge et andet princip, som ikke flugter forordningen.Folkningen er jul, det konservative folkeparti, værsgo.",Marie Bjerre_video_41_start_1-24-29
"Mange tak.Tak til dansk folkeparti for at rejse en interessant debat.Danmark har som lille land forpligtet os internationalt ved at have tilsluttet os flere konventioner gennem tiderne, som giver borgerne nogle folkeretlige rettigheder. som giver borgerne nogle folkeretlige rettigheder.I det konservative folkeparti mener vi, som vi hele tiden har sagt, at kriminalitet absolut ikke skal premieres med et dansk pas.Derfor er vi, som forslagsstillerne giver udtryk for, også meget frustrerede over, at det ikke er muligt at fratræde kriminelle personer som voldtægtsforbrydere og seriekriminelle dansk statsborgerskab som konsekvens af deres kriminalitet.Derfor har vi os, af flere omgange, opfordret ministeren til at udfordre konventionerne og undersøge, hvad vores handlerum inden for konventionerne er.Jeg har også stillet spørgsmål til ministeren om, hvilke konsekvenser det vil have, hvis vi trotter ud af statsborgerretskonventionen.Og vi har i flere omgange været med til at få strammet kravene for at få dansk statsborgerskab og vil gerne drøfte yderligere stramninger.Regeringen har jo selv skrevet i sit regeringsgrundlag, at vi skal afklare danmarks manøvrerum i forhold til kommissionerne, og det synes jeg, vi skylder danskerne, og jeg venter stadig på den afklaring.Vi skal også huske, at det er socialdemokratiet, der tidligere har foreslået, at statsborgerskaber skal kunne frakendes ved personfarlig kriminalitet, noget som konventionerne også har sat en stopper for. Senest har socialdemokratiets udlændingeordfører, herre Frederik Vad, udtal sig i negative vendinger om konventionerne, så jeg synes ærlig talt, at vi har hørt nok snak. Lad os se at få afklaret vores manøvrerum i forhold til konventionerne, så vi kan stille Danmark og danskerne i den bedste position. Når det så er sagt, så er vi ikke der, hvor vi på baggrund af beslutningsforslaget her vil udtræde af statsborgerretskonventionen.Alt skal gå ordentligt til, og Danmark skal naturligvis leve op til internationale forpligtelser.Men lad os nu udfordre og undersøge vores handlerum, som jeg har opfordret til, og som jeg håber på, at regeringen og ministeren vil handle på.Tak for ordet.Ja, tak, og der er lige en kort bemærkelse.",Brigitte Klintskov Jerkel_video_41_start_3-58-41
"Tak for ordet, og tak til forslagsstillerne.Der er jo ikke nogen tvivl om, at vi de her år har brug for både at udvikle og tøjle kunstig intelligens.Fortsat her, det er adresseret den rivende udvikling, vi er i, og fokuserer på nogle af de restriktioner, som der kan være behov for, nemlig at der foretages risikovurderinger med forskellige typer sagsbehandlingers anmeldelse af kunstig intelligens, at der udarbejdes retningslinier for virksomheders og myndigheders anmeldelse af kunstig intelligens, og at der skrives retfærdighedsprincipper for anmeldelsen af den nye teknologi ind i produktansvarsloven og forvaltningsloven.Det er langt hen ad vejen rigtig fint, men grundlæggende er det svært at forstå behovet på beslutningsforslaget, for som forslagsstillerne også selv bemærker, er der i uregulering på trapperne, det er der flere ordførere været inde på, ministeren var det også selv.Reguleringen kan netop adressere, hvor der skal trædes på bremsen, og som ikke giver megen mening at lave national lovgivning på, tænker vi.Hvis en engang vil det også være helt afgørende, vil vi få en grundig drøftelse af, hvad der ligger i blandt andet retfærdighedsprincippet, ordførerne for forslaget har jo spurgt flere om det, at, hej, måske skal vi bare kigge på det, måske skal vi bare have en drøftelse af det.Og det er en lille lille lille lille lille lille lille lille lilleel overveje at slippe nogle flere data, ikke følsomme data, løs som træningsdata.For for eksempel at få chatbots af høj kvalitet og troværdighed skal der bruges træningsdata af høj kvalitet og troværdighed.Dammers radio har masser af egenproduceret kvalitetsindhold, som jo allerede er betalt, af skattekroner, men DR har valgt at blokere for, at robotter kan læse og lære med. Det er et sted, hvor vi kunne kigge på det. I Japan har man en væsentlig mere liberal tilgang, det kan være lidt for voldsomt, men der er i hvert fald mulighed for øvelser, og det er det, vi har behov for, og det er også det danske erhvervsliv har behov for, hvis de skal løse nogle af vore store udfordringer med klima og sundhed.Vi kunne blandt andet også bare lade os inspirere tilgangen hos statens museum for kunst, som digitaliserer værker og stiller dem til rådighed for hele insulatet og lader andre bruges og udstille på deres egen platform.Det gør man med skarpt øje for formålet om at fremme kulturarven, så enhver kan bruge værkerne i alt for skoleopgaver til en ny digital platform.Udbredelse og anmeldelse er vigtigere, end at den enkelte bruger besøger statsmuseum for kunsts egen hjemmeside eller fysiske udstillinger.Den tilgang kan godt lide.Og det er klart, at udviklingen af kunstlinenskegenskaber bliver et væsentligt konkurrenceparameter de kommende årtier.Ergået er brug for, efter vores mening, en lidt mere liberal tilgang, så vi får de konkurrencedygtige virksomheder op at flyve, en mere liberal tilgang, reguleringen er af i, end der lægges op til i B toogfyrre.",Mona Juul_video_41_start_1-57-47
"Spørgsmålet, hvis jeg prøver at afgrænse det i forhold til, hvor er det, vi mener, man skal kunne indlede frakendelsessager, er statsborgerskab, så er det, når det kommer, at kriminalitet er særlig farlig karakter, serieforbrudelser, voldtægtsforbrudelser, men det er også korrekt fortolket, at ja, det er et svigt, ligemeget hvilken kriminalitet man egentlig begår, men det er ikke, fordi liberal alliance ønsker at indlede frakendelsessager, at kriminalitet er mindre grad.",Sandra Elisabeth Skalvig_video_41_start_3-57-08
"Tak for det formand.Tak til SF for at fremsætte det her beslutningsforslag, og især dels hed tak til ordføreren, Frulisbet Beck Nielsen, der om nogen har kæmpet denne kamp om alt, hvad der handler om digitalisering og kunstig intelligens i snart en halv menneskealder, både inden for og uden for på Christiansborg.På et socialt medie her for nylig, der blev diskuteret kunstig intelligens på Christiansborg, og en bekendt af mig havde skrevet i et kommentarfelt, at det var dog dejligt med kunstig intelligens på Christiansborg, for så var der dog nogen intelligens på Christiansborg. Og spøj til side, jeg synes det er helt åbenlyst, at vi selvfølgelig har brug for at diskutere det her. Jeg bliver en lille smule træt af, når vi har de her diskussioner, at der altid bliver henvist til et eller andet EUspor.For når man tænker på, hvor vigtig den her dagsorden er, ja, hvad har vi lært af andre dagsordre, der er vigtige?Det er, hvis de er så vigtige, så det er en dum ide at overlade det til EU.Så det er i hvert fald noget, som vi har brug for at diskutere rigtig meget selv.Det kan også være, at vi har brug for at diskutere det i eu-regi, men det giver enormt god mening, at vi også diskuterer det her.Det giver også mening, at Danmark, som et af de mest digitaliserede lande i Europa, selvfølgelig har en stærk stemme på det her blandt andre lande, og at vi har ministerer, som er aktive over for andre lande med det arbejde, der foregår i Bruxelles.Langt hen ad vejen er jeg enormt positiv over for SFs forslag.Jeg ved ikke, om det rigtige er at lande en beretning på det, eller om det er at sende det til afstemning, det må ordføreren jo om, men vi er faktisk meget positive over for nogle af de her takter, der ligger i det, fordi opfindelsen af kunstig intelligens måske er en af de største opdagelser i menneskehedens nyere historie, noget af det, der vil ændre vores samfund allermest i de her år og i de kommende år i særdeleshed. Og der synes vige danske folkepartier, at det er meget vigtigt, at der er en stærk, lovbaseret regulering, at det ikke er firmaer, der er på den anden side af jordkloden, der får lov til at sætte dagsordenen for, hvad man kan og ikke kan med kunstig intelligens, men at det er noget, hvor vi har noget gennemsigtighed, men også hvor det er demokratiets spilleregler, der er afgørende for, hvordan den her teknologi vil udfolde sig. Det er det ene aspekt i det. Det andet aspekt er jo også, at den vestlige civilisation jo er en enorm konkurrence med andre civilisationer, der måske tager nogle helt andre hensyn end vi vil gøre. For eksempel det, der foregår i Kina i de her år, som også buldrer derudad, buldrer fremad, men som har nogle helt andre værdier, man lægger ned over den her nye teknologi.Der er nogle helt andre værdier, man lægger ned over den her nye teknologi. Så min konklusion er, at der er mange gode ting i det her forslag, og det vil vi meget gerne arbejde videre med, og store dele af det kan vi for så vidt også støtte. Tak for ordet. Der er ikke ønske om korte bemærkninger, tak til herre Peder Kvart.",Peter Kofod_video_41_start_2-12-10
"Tak for ordet.Med beslutningsforslaget i dag ønsker forslagsstillerne, at Danmark træder ud af statsborgerretskonventionen, som stammer fra nitten syvoghalvfems.Da konventionens bestemmelser ifølge forslagsstillerne ikke muliggør, at kriminelle mennesker, herunder voldtægt forbrugere og seriekriminelle, kan fratages dansk statsborgerskab som konsekvens af deres alvorlige kriminalitet.Jeg vil gerne starte med at understrege, at vi deler forslagets intention, for vi synes grundlæggende også, at det er et problem for Danmark, at man ikke kan fratage kriminelle udlændinge deres statsborgerskab for alvorlig kriminalitet.For kriminelle udlændinge har selvfølgelig ikke fortjent at få det danske statsborgerskab, når man begår alvorlig kriminalitet efterfølgende. Det har vi desværre set alt for mange eksempler af. Derfor anerkender danmarksdemokraterne også til fulde, at statsborgerretskonventionen er et problem for Danmark, for det er desværre endnu et eksempel på, at konventionerne er skrevet i en tid, som ikke repræsenterer den tid, vi lever i i dag.Med andre ord er den ikke længere tidssvarende, når konventionen beskytter kriminelle udlændinge, det skal vi selvfølgelig have gjort noget ved.Derfor mener vi også i danmarksdemokraterne, at vi skal tage et opgør med konventionerne.Vi har brug for at få afdækket, hvordan man kan udfordre og ændre konventionen, så vi kan presse rammerne for konventionen til det yderste, så det i højere grad kan blive nemmere at kunne fratage statsborgerskabet for kriminelle udlændinge.Men vi anerkender også, at det er vigtigt for et lille land som Danmark, at der sættes nogle fælles rammer, og etableres en fælles spilbane, man skal overhold denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur, skal man være i denne kultur,de om at udpege en ambassadør, der skal sikre, at Danmark engagerer sig i arbejdet med konventionerne, herunder hvordan de fortolkes og anvendes, så de i langt højere grad kan udfordres.Samtidig skal det klarlægges, hvilke andre lande, der har udtrykt kritik over for statsborgerets konvention, så vi i fællesskab med andre lande kan undersøge, hvordan vi gør konventionen mere tidssvane.Tror du, at det er en løsning, der skal være løsninger, så er det en løsning, der skal være løsninger.",Kristian Bøgsted_video_41_start_3-36-23
