whisper-large-v2,file
" Ja, fordi det afgørende problem i den danske fertilitetsbehandling er ikke antallet af forsøg eller at man selv skal betale for nummer to forsøg. Lige nu er det store problem de ventetider, der er. Og at man også kan opleve at blive afmeldt i en behandling i flere måneder simpelthen på grund af manglende kapacitet. Og det må jo være frygteligt, når man ved, at der netop er mulighed derude, netop i det private, som jo i dag også fakt også varetager over halvdelen af de fertilitetsbehandlinger, der er i vores land. Så det er glædeligt at høre, at ministeren gerne vil kigge på det her område. Hvornår skal vi så i gang med det?",Louise Brown_video_41_start_0-37-58
" Tusind tak. Netop fordi man holder sig stedigt fast i denne her fuldstændig tåbelige konvention, som absolut ingen gavn giver til Danmark. Tværtimod. Der er jo masser af andre lande, som vi under normale omstændigheder sammenligner os med. Der er Spanien, Italien, Irland, Storbritannien, Frankrig, Belgien og jeg kunne blive ved og blive ved, som ikke har ratificeret denne her. Netop fordi det er tudetåsset at overlægge muligheden for at frakende statsborgerskabet fra dybt kriminelle mennesker til nogen helt andre end dem, der er valgt i Danmark. Så jeg kunne egentlig bare godt tænke mig at høre ministeren. Det ministeren reelt set står og siger her fra Folketingets talerstol, og jeg er jo synes ikke glad for, at ministeren anerkender, at det er det, der er realiteterne. Det er vi jo nogen, der har vidst længe. Det er, at Dansk Folkeparti faktisk er det eneste parti i Folketinget, der reelt set kan løse de massive problemer, der har været en forfejlet udlændingepolitik. Fordi vi netop er lige glade med konventioner, som den minister til synligheden er så glade for.",Mette Thiesen_video_41_start_3-00-06
" Jeg vil gerne have, at det er Folketinget, der styrer udviklingen i samfundet, end det er ministeren. Det er min grundholdning. Og selvom man har et kændt problem, og her har vi sådan set nogle høringsvarer, som gør opmærksom på, at man kunne sætte den der grænse lavere, så man kunne øge genbruget. Vi står overfor med nogle livscyklusanalyseberegninger, som er krav til byggeriet og krav om, at vi nedsætter CO2-udslippet for nybyggeri, og hvor genbrugsmaterialer sættes til 0 CO2-mæssigt. Vi står overfor, at der bliver et marked for genbrugsmaterialer, hvorfor ikke for flest mulige genbrugsmateriale ind i byggeriet? Det er der en CO2-effekt ved. Det er der jeg appellerer til at genoverveje den her 250 kvm-grænse.",Søren Egge Rasmussen_video_40_start_0-24-56
" Ministeren siger, at der skal være lokal frihed og lokal ansvar. Det kan jeg ikke være uenig i. Men samtidig fremlægger regeringen også et forslag om, at der skal være mere sprogstøtte og sprogscreening til sociale og sundhedselever. Det er jo dejligt, men det går måske lidt imod de tanker, som regeringen måske ellers havde på området. Jeg skal ikke kunne sige, om der er noget der. Når det så er sagt, så siger ministeren, at kvaliteten skal være i orden, og man skal sætte nogle mål. Så hvordan får vi målt på kvaliteten i forhold til dansk kunskab og en ældreplejling?",Marlene Harpsøe_video_44_start_6-21-19
" Nu bliver jeg ikke så berørt af det, ordføren siger lige nu, fordi jeg ved, at ordføren kender mig godt nok til, at magtafgangsne ikke lige ligger i min DNA. Det jeg opfordrer til, er at komme med nogle flere konkrete eksempler. Lad os få sat ind, for der er jo ikke nogen herinde, der er uenige i, at vi ikke skal sætte ind på alle parametre, som vi kan. I den krise, vi er i lige nu, så kom med noget konkret. Der er ikke noget, der bliver fejret af bordet. Vi tager det hele op. Der bliver arbejdet hårdt og konstruktivt over fra ministeriet. Så kom med jeres forslag.",Charlotte Bagge Hansen_video_40_start_2-08-20
" Vi støtter også forslaget. Det er positivt, at man med det her forslag indfører flere defensive forudstaltninger over for selskaber i skattely. Det er sådan set noget, vi længe har efterspurgt, fordi det er selvfølgelig helt urimeligt, at der er selskaber og enkelpersoner, som undrer sig skat, som opererer og tjener penge, f.eks. i Danmark, lever godt på det, men ved hjælp af skat, undrer også og bidrager til det samfund, som er baggrund, kan man sige, eller på vis skuldre, at man skaber sin succes og sin formue. Det er nogle relativt begrænsede skridt, måske nogle af dem lidt mere symbolskarakter og vi jo ikke løser det enorme problem vi har med skattely, som jo koster vores samfund og dermed jo alle skatteydere rigtig, rigtig mange penge hvert eneste år. Det skyldes, at man i Danmark har valgt at tage udgangspunkt i EU's skattely-liste, som jo er mangelfuld. Der er jo notoriske skattely-lande, som ikke er omfattet af den her liste, og som det også har været nævnt før, så er det selvfølgelig også en udfordring, at deattely, som er EU-medlemsstater, som f.eks. Luxemburg og andre, ikke er omfattet og ikke kan omfattes af den her liste. Det er et problem, fordi vi ved, at meget ofte anvender man jo ikke skattely direkte, men bruger en mellemstation, som f.eks. Luxemburg, for at kanalisere sine penge ud i skattely, og dermed kan det blive svært at opdage og dermed sanktionere de selskaber, der gør det her. Den danske regering har ikke været specielt offensiv i de debatter i EU i forhold til at få udvidet den her skattely-liste, og det er et problem. Og selv hvis man havde tabt i kampe, så kunne man jo have lavet en mere vidtgående skattely-liste selv. Og det har vi jo mange år foreslået fra enhedslistens side, at man skulle. I det hele taget, så er der en eller anden afstand mellem den opfattelse, der bliver givet udtryk for heroppe, og har gennem tiden gjort, da partier og regeringspartier, og så den reelle indsats, der bliver gjort. Vi så det f.eks. under coronahjælpepakkerne, hvor vi fra enhedslæsningssiden sammen med andre partier foreslog, at det skulle stilles som betingelse, at hvis man skulle modtage hjælpepakker fra staten, så var der oplagt, at man ikke samtidig kunne operere af skattely. Det var der ikke vilje til dengang, og det var endda på trods af EU-kommissionen sådan set opfordret medlemslandene til at lave de krav i forbindelse med hjælpepakker. Så vi er meget langt fra i mål, men et hvert lille skridt i den rigtige retning er selvfølgelig positivt, og derfor støtter Enhedslæsningssiden forslaget.",Pelle Dragsted_video_41_start_2-43-48
" Det er vores generelle opfattelse, at loven, som den er i dag, allerede kan ordentere de ufordringer, som der er. Så kan man måske kigge lidt på, om det altid bliver håndhævet så meget, som det burde. Menourcerne, fordi der er så meget forurenet jord. Nogle gange er man nødt til at prioritere, hvor man sætter ind. Det er lidt for rigidt at sige, at der skal fremsættes et lovforslag om et forbud om at bygge og anlægge infrastruktur. Jeg synes, det er reglerne er fine, som de er i dag, hvis de bliver håndhed tilstrækkeligt. Og så er vi åbne for at kigge på den anden del af SF's forslag.",Alexander Ryle_video_40_start_3-45-24
" Vi har ikke nogen problemer med straf i enhedslisten. Nu er Hr. Mikkel Bjørn medforslagstillet på et forslag, vi skal diskutere henne i morgen, som også handler om straf. Jeg er til hverdag også retsordfører i enhedslisten. I morgen tænker jeg, at jeg kan lægge en post-it ned hos Hr. Mikkel Bjørn, så han kan se, hvor mange gange enhedslisten har været med til at hæve straffene for ekonomisk kriminalitet, for eksempel digitale krænkelser. Men det kan godt være, at hr. Mikkel Bjørn heller ikke kan læse det. Det skal jeg jo ikke kunne svare på.",Rosa Lund_video_41_start_4-11-30
" Det er ikke beslutningsforslaget, det handler om at lave retningslinjer, der bliver efterspurgt fra virksomheder, kommuner og skoler. De siger, at de ikke kan hjælpe os med retningslinjer. Det handler ikke om hård lovgivning. Det handler om at klaregøre, hvilke regler vi allerede har, vi kan bruge de her nye teknologier på den bedst mulige måde og høst alle de gevinster, der er, men ikke ved at falde i alle de her fælder. Og det kan jeg simpelthen ikke forstå, at der er den modstand mod at give en hjælpende hånd til dem, der beder om det ude i vores samfund.",Lisbeth Bech-Nielsen_video_41_start_1-23-48
" Men jeg ved jo også, at nogle af de organisationer, som er nævnt i beslutningsforslaget, er i fuld gang. Der bliver jo sat hegnspæle op hele tiden allerede nu. Og når vi allerede kan se rammerne for det, vi skal udmynde i forhold til EU-reguleringen, så kommer det jo til at rulle fra nu af, trods alt. Og jeg er bare i tvivl om, at når forslagstilleren siger, at de relevante minister straks formulerer retningslinjer til forskellige dele af samfundet, og erhvervsministeriet bør udarbejde retningslinjer til landets virksomheder, så har jeg lidt behov for at vide mere om, hvad de retningslinjer skal indeholde, og hvad skulle ministeren arbejde ud for, når de også ønsker at tage afsat i de kommende AI-reguleringer?",Mona Juul_video_41_start_2-03-53
" Det har I alle efterspurgt af nogle omgange. Jeg er glad for, at vi kan lægge det frem, så vi kan komme i gang med forhandlinger. Vi har ikke aktuelt planer om sprogkurser, men Smøren har ret i, at internationale arbejdskraft er en satsning og et fokusområde for regeringen. Og vi skal selvfølgelig sikre, at der er den fornyende kvalitet omkring det.",Mette Kierkgaard_video_44_start_6-25-36
" Hvis jeg prøver at afgrænse det i forhold til, hvor er det, vi mener, man skal kunne indlede frakendelsesager af statsborgerskab, så er det, når det kommer til kriminalitet af særlig farlige karakterer, serieforbrydelser, voldtægtsforbrydelser. Men det er også korrekt fortolket, at ja, det er et svigt, lige meget hvilken kriminalitet man egentlig begår, men det er ikke fordi Liberalale Alliance ønsker at indlede frakendelsessager, at kriminalitet er mindre grad.",Sandra Elisabeth Skalvig_video_41_start_3-57-08
" Og det er jo fair nok, at man er uenig i, at man skal bruge mere tid til at få flere domme. Jeg vidste ikke, at fru Mette Thiesen nu på den korte tid her er blevet tilhænger af, at vi skal have mere viden om den her lovgivning med udgangspunkt i at finde ud af, hvordan vi kan gøre noget. Der er ikke noget, der tyder på, at den kritik, som fru Mette Thiesen rejser i forhold til det her lovforslag, har noget på sig. Altså, der er både kommet en vurdering fra Rigsadvokaten og fra Statsadvokaten, og den er jeg megethovedet ikke.",Bjørn Brandenborg_video_44_start_4-03-31
" hjælp og vejledning til vores virksomheder og offentlige myndigheder i brug af kunstig intelligens. Tværtimod mener jeg faktisk, at vi har en meget stor opgave i at hjælpe og vejlede og rådgive vores virksomheder i brug af kunstig intelligens. Men der hvor uenigheden opstår, det er, om vi skal anlægge et udvidet forsigtighedsprincip i forhold til kunstig intelligensforordning. Jeg mener, at det vejledning og rådgivning, vi giver vores virksomheder og offentlige myndigheder, de skal følge forordningen og være inden for rammerne. Vi kan ikke begynde at lave nogle andre retningslinjer eller tilægge et andet princip, som ikke flugter forordningen.",Marie Bjerre_video_41_start_1-24-29
" Jeg synes, vi skal huske, at når vi frisætter, så handler det bare om, at man har frihed til at gøre noget. Og så skal man jo diskutere herinde, hvor meget kontrol mener vi så, der skal være med den her frisættelse, og specielt når det kommer til natur- og miljøområdet. Så vil det jo påvirke andre kommuner. Og det kan selvfølgelig godt være positivt, men jeg hører også ministeren sige, at man jo ikke lukker nogle døre i forhold til, at der er andre emner, man kan tage op og se på. Der er jo ikke noget, der er statisk i politik, og det kan da godt være, at der vil være nogle områder, hvor det kan vise sig, at her kan vi, ligesom vi har gjort på Grønne Bymætter, at her kan vi lave nogle aftaler, som vi kan sprede ud til flere kommuner.",Birgitte Vind_video_40_start_1-50-09
" Det er absolut. Der er fremskridt. Der er også andre fremskridt omkring fx de her forhandlinger, der har været i OECD omkring fælles minimumsatser, som jo også er en måde at komme noget af det her til livs. Og de her forskellige mekanismer, som man arbejder på at indføre for at kunne beskatte de virksomheder, som ikke bliver beskattet ordentligt der, hvor de er hjemmehørende. Så international samarbejde både i EU og i OECD er jo helt afgørende for at få gjort noget ved det her. Det er svært at gøre som en enkelt land, selvom vi kun tentativer i Danmark også. Så det er positivt. Problemet er, at de kriterier, EU bruger for at sortliste, er relativt limplige. Det vil sige, at nogle af de lande, der bliver taget af listen, kan man godt diskutere, er de rent faktisk ikke stadigvæk skatteløse landet? Og er de ikke stadigvæk en belastning af vores evne til at kunne indkræve de skatter, som vi bør for de selskaber, som tjener penge på at operere i Danmark?",Pelle Dragsted_video_41_start_2-47-30
" Det var et spørgsmål til mig heroppe. Jeg er sådan set enig i det, der allerede er blevet sagt i debatten. Jeg mener ikke på nogen måder, at der er nogen, der forsøger at feje noget af den her debat under gulvtæppet. Jeg synes faktisk, at ordføren begår en fejl i det, ordføren siger. Jeg synes faktisk, at nogle af dem, der lykkes med at beskrive nogle af de udfordringer, er blandt andet med for mange indvandrere, der begår alvorlig kriminalitet af nogle af vores lokalmedier. Jeg synes, at de er nogle af dem, der er gode til at beskrive, når der bliver begået alvorlige forbrydelser i deres lokalsamfund, og også beskrive Det er relevant.",Bjørn Brandenborg_video_44_start_2-59-01
" Jeg vil gerne sige, at hvis det skulle have været en god og grundig gengange fra Socialdemokraterne og Sovefører, så er det andre gange, hvor jeg har oplevet dem endnu mere grundigt. Men jeg anerkender selvfølgelig også, at det ikke er det mest hvidt løftige lovforslag, det vi behandler her i dag. Det er et mindre lovforslag, som sikrer en bedre præcisering i forhold til at sikre borger et bedre retsgrundlag i forhold til, hvis det bliver omfattet af miljøskader. Og det er jo sådan, at hvis man kigger på EU-kommissionen, så har de jo konkluderet, at del af det her miljøansvarsdirektiv ikke var tilstrækkeligt gennemført i Danmark, og ikke klart præciserede, hvad regler og vilkår der var i forhold til den enkelte borger. Det er det, der forsøges genoprette med forventelse med det her lovforslag, og det støtter Danmarks Demokraterne.",Hans Kristian Skibby_video_40_start_0-08-46
" I Danmark er varetægtsfængsler, hvis den sigtede har gjort noget strafbart, som har en strafferamme på et år og seks måneders fængsel. Derudover skal dommeren vurdere, at der er en risiko for, at den sigtede flygter, at den sigtede vil begå ny lovholdsredelse eller at den sigtede vil prøve at forhindre opklaring af sagen, f.eks. ved at slætte sine spor, påvirke vidner eller medgerningsmænd. Det synes jeg er et ret fint argument at få varetægtsfængslet. I Danmarks Demokraterne ønsker vi ikke, at g gerningsmænd, som kunne være sigtet for frygtelige forbrydelser, som vi så med ubådssagen, skal kunne gå frit rundt og kommunikere med omverdenen og potentielt obstruere en efterforskning. Derudover mener vi i Danmarks Demokraterne heller ikke, at vi af hensyn til for eksempel offre for personfarlig kriminalitet kan tage så store hensyn til gerningsmænd, som det i så omfattende en grad forslås med forslaget. Det er vores klare opvisning, at for at bevare borgernes retsfølelse og retssikkerhed, er det nødvendigt, at varetægtsarstander forbliver bag lås og slå. I Danmarksdemokraterne står vi altid på offertside. Forslagstiller henviser til spørgsmål 382 af 6. marts 2023 i forhold til hyppiger og længere varetægtfængslinger. Men tabellen siger jo noget andet. Her kan man se, at antallet af varetægtfængsler er faldet stødt siden 2014 til 2022. Til gengæld er det korrekt, at de varetægtfækninger, så vi går videre i ordføringen.",Betina Kastbjerg_video_44_start_5-34-01
" Hvis det kun var 55 mio. kr. der afgjorde udviklingen af kunstig intelligens for Danmark, så stod vi skidt til. De 55 mio. kr. er afsat til en strategisk ramme for udviklingen af kunstig intelligens for at presse på for yderligere investeringer i kunstig intelligens. Jeg tror, at ordførerne er enige med mig i, at det jo ikke er den offentlige stat, der skal investere i kunstig intelligens. Vores virksomheder skal med og investere i kunstig intelligens. Det er vigtigt for mig som digitaliseringsminister at få sendt et signal til vores erhvervsliv om at er i jul.",Marie Bjerre_video_41_start_1-25-35
" Hvis man tænker eksemplet til ende, så ville du jo fretage et statsborgerskab fra en person, som havde begået kriminalitet, som var blevet dømt ved danske domstole, som man skal. Det vi ikke modstander af i engelsklisten. Jeg kan forstå, at Dansk Folkeparti har lidt svært ved at læse vores politik, men det lever jeg så fint med. Så ville personen vedkommende være blevet dømt, så havde vedkommende fået fretaget sit danske statsborgerskab, hvis det stod til Dansk Folkeparti. Og så ville vedkommende jo sidde på et udrejsecenter et eller andet sted. Hvordan skulle det hjælpe nogen som helst? Og hvordan skulle det i øvrigt sikre, generelt, at der ikke ville være kriminalitet i Danmark? Det er bare for at sige, hvis der var så nemt, ville der jo ikke være nogen kriminalitet i Danmark. Dansk Folkeparti har jo haft held med, desværre må jeg sige, at hæve straffene i det her land de sidste 20 år. Har du stoppet kriminaliteten i det her land, herr Mikkel Bjørn? Ja eller nej?",Rosa Lund_video_41_start_4-09-55
" Jeg vil bare være meget tilbageholdende med at konkludere, at det er fordi vi nødvendigvis varetægt fængsler for meget. Det kunne fx også godt være, at man i Sverige varetægt fængslet for lidt i forhold til de enorme kriminalitetsudfordringer, som man har derovre. Og derfor er jeg bare meget varesom med at konkludere skarp på, at svaret på den her problemstilling og den her helt åbenløse udfordring, fordi det er jo klart, når man har eksempelvis i Vesterfængsel et belæg i perioder, sidste jeg besøgte den, der havde de et belæg på 115 procent, det skaber jo enorme udfordringer, og derfor tror jeg, at vi alle har en interesse i at få et 360 graders blik på hele den her problemstilling. Tak. Så er det fra Karina Lohansen, DNH, Socialistisk Folkeparti.",Peter Hummelgaard_video_44_start_4-59-30
" Jeg har ikke været i dialog med den israelske ambassade om denne konkrete sag. Det kan jeg sige med sikkerhed. Vi tager jo medansvar. Det er blandt andet derfor, at vi i den seneste afstemning i FN's Generalforsamling stemte for en resolution, der opfordrer til umiddelbart humanitær våbenbil. Det er derfor, at vi alle de steder, hvor vi deltager, og jeg har selv gjort det også bilateralt overfor den israelske minister og andre møder, har deltaget i, altså understreger vigtigheden af, at man overholder folkeretten herunder en humanitær folkeret. Men man kan jo godt tage det medansvar og intervenere, nær sagt, internationalt politisk, uden at man af den grund skal intervenere i retssager, der rejses af andre lande. Det næste spørgsmål.",Lars Løkke Rasmussen_video_41_start_0-22-37
" Vi bliver alle interesseret i, at medarbejderne kan kommunikere ordentligt med de ældre borgere. Det handler om, hvordan man anskuer og hvordan vi løser det her problem bedst muligt. Med de sprogbarrier, som kan være, at man har problemer med sproget. Det kan også være ordblindhed og alle mulige andre ting, som besværliggør hverdagen. Og der tror jeg, at jeg i højere grad mener, at man løser det ved fx at lave sprogstøtte, ved at lave sprogscreening, ved at opkvalificere underviserne til at kunne undervise i flere sprogspædagogik, ind ved at indføre nationale standarder og mere detaljstyring og kontrol, som er noget af det, som jo lige præcis tager tiden væk fra borgerne. Det er jo al den her detaljstyring, al den her kontrol og tilsyn, som tager tiden væk fra trygheden i ansigts- og ansigtskontrakten. Spørgeren? Flersprogspædagogik.",Fie Hækkerup_video_44_start_6-32-18
" Det har jeg også sat i gang. Jeg er blevet kontaktet, måske af nogle af de samme gode folk, som har kontaktet rådførende i forhold til, at der er nogle udfordringer på det område her. Det mener jeg da bestemt, at vi skal kigge på. Man kan jo altid diskutere, hvad en sport er, men så længe vi ikke kvalificerer bl.a. dart og skak og andre ting som sport, så kan jeg heller ikke se på, hvorfor man ikke skulle kvalificere esport til at gælde under samme kategori. Så det er jeg i gang med, men jeg synes også, det er fair nok lige at give lidt tid til, at man kan undersøge, hvad er problematikken, hvad er det for nogle procedure, der er gået galt, siden folk oplever det på den måde her, før vi træffer konklusioner om, hvad der så skal gøres ved det.",Kaare Dybvad Bek_video_41_start_0-55-22
" Det er jeg glad for, at ordførerne er klar på, for det beviser netop, at vi godt kan gå ind og se på at give kommunerne nogle lempelige regler, hvis vi ellers sætter os ned sammen. Det er jo sådan set det, det hele handler om. Det jeg også synes er lidt ærgerligt, at ordførerne sørger for at bevæge sig ud i, er at kalde regeringen magtfuldkommen. Jeg ved ikke, om det er det præciste ord, men det er jo sådan, jeg tolkede det. Jeg synes netop, at vi sætter os ned og får lavet brede aftaler, 85 procent af de aftaler, vi laver her i Folketinget, er på tværs af Folketingets sal.",Birgitte Vind_video_40_start_2-33-22
" Det er fuldt tilgængeligt og kommer hver eneste år som en del af Danmarks Statistik's årlige rapport Kriminaliteten i hver enkelt år. Så de oplysninger er jo tilgængelige. Og det er i øvrigt en meget relevant og vedholdende del af den offentlige debat. Men at gøre det, som Mikkel Bjørn foreslår, nemlig at detaljregulere, hvordan politiet i konkrete situationer udsender sine anledninger – – ud fra en politifaglig vurdering til, hvad der skal til for at kunne finde mistænkte for forbrydelser. Det er jeg simpelthen ikke enig i. Så er det, fru Mette Thiesen. Tusind tak.",Peter Hummelgaard_video_44_start_2-52-19
