save_path,text
Bjørn Brandenborg/video_44_start_2-59-01.mp4,"Jeg ved ikke, om det var sådan et forsøg på et spørgsmål to til ministeren, eller om det var et spørgsmål til mig heroppe, men jeg er sådan set enig i det, der allerede er blevet sagt i debatten. Jeg mener ikke på nogen måde, at der er nogen, der forsøger at feje noget af den her debat ind under gulvtæppet, og jeg synes faktisk, at ordføreren begår en fejl i det, ordføreren siger. For jeg synes faktisk, at det er lykkes for nogle af vores lokale medier at beskrive nogle af de udfordringer, der er, bl.a. at der er for mange indvandrere, der begår alvorlig kriminalitet. Jeg synes, at de er nogle af dem, der er gode til at beskrive, når der bliver begået alvorlige forbrydelser i deres lokalsamfund, herunder også hvad det er for en etnicitet, folk har, osv., fordi det ikke er et problem. Det, der vel er baggrunden for den her debat, skulle være, at der er et problem med, at vores politi ikke gør det i dag, og det er jeg heller ikke enig i; for politiet gør det i de tilfælde, hvor det er relevant for efterforskningen."
Bjørn Brandenborg/video_44_start_3-00-24.mp4,"Det er jeg – nok ikke overraskende – heller ikke enig i. Jeg tror, at det, som ministeren og jeg også selv insisterer på, er jo, at politiet har mulighed for at passe sit arbejde og gøre det på den måde, som politiet også selv synes er den bedste måde at gøre det på, og det er jo bl.a. at bruge signalementer. Jeg ved ikke, hvorfra ordføreren har fået den der forståelse af, at man ikke gør det. Altså, jeg synes, at man i flæng heldigvis ser, at politiet også bruger, hvordan folk ser ud, hvilken etnicitet de har osv., når de laver signalementer, fordi de netop skal bruges til at kunne opklare nogle af de meget alvorlige forbrydelser."
Bjørn Brandenborg/video_44_start_4-01-34.mp4,"Tak. Jeg synes ikke, at spørgeren lyder målløs, men tak for spørgsmålet. Men det er jo det, som jeg lige sagde i forhold til det forslag, som ordføreren her fremsætter, og som handler om at lave en ny undersøgelse, der med udgangspunkt i en gammel undersøgelse skal være færdig inden årets udgang. Der siger jeg, at man må se det forslag i lyset af, at vi for ikke særlig lang tid siden, altså for et par år siden – jeg tror selv, at ordføreren var ordfører på det forslag – indførte den nye samtykkebaserede bestemmelse i straffeloven, hvad der jo gør, at mange af de sager, der kører nu, er forholdsvis nye. Derfor er der ikke så mange af dem, og derfor venter vi på, at der er et bedre datagrundlag, end der er nu."
Bjørn Brandenborg/video_44_start_4-03-31.mp4,"Tak for det. Jamen der er sådan set ikke noget, vi er bange for, og det er jo fair nok, at man er uenig i, at man skal bruge mere tid til at få undersøgt flere domme. Jeg vidste ikke, at fru Mette Thiesen nu på den korte tid her er blevet tilhænger af, at vi skal have mere viden om den her lovgivning med udgangspunkt i at finde ud af, hvordan vi kan gøre noget. Der er ikke noget, der tyder på, at den kritik, som fru Mette Thiesen rejser i forhold til det her forslag, har noget på sig. Altså, der er både kommet en vurdering fra Rigsadvokaten og fra statsadvokaten, og den er jeg meget, meget tryg ved at læne mig op ad."
Brigitte Klintskov Jerkel/video_41_start_3-58-41.mp4,"Mange tak. Tak til Dansk Folkeparti for at rejse en interessant debat. Danmark har som lille land forpligtet os internationalt ved at have tilsluttet os flere konventioner gennem tiderne, som giver borgerne nogle folkeretlige rettigheder. I Det Konservative Folkeparti mener vi, som vi hele tiden har sagt, at kriminalitet absolut ikke skal præmieres med et dansk pas. Derfor er vi, som forslagsstillerne giver udtryk for, også meget frustrerede over, at det ikke er muligt at fratage kriminelle personer som voldtægtsforbrydere og seriekriminelle dansk statsborgerskab som konsekvens af deres kriminalitet. Derfor har vi også af flere omgange opfordret ministeren til at udfordre konventionerne og undersøge, hvad vores handlerum inden for konventionerne er. Jeg har også stillet spørgsmål til ministeren om, hvilke konsekvenser det vil have, hvis vi trådte ud af statsborgerretskonventionen, og vi har af flere omgange været med til at få strammet kravene for at få dansk statsborgerskab og vil gerne drøfte yderligere stramninger. Regeringen har selv skrevet i sit regeringsgrundlag, at vi skal afklare Danmarks manøvrerum i forhold til konventionerne, og det synes jeg vi skylder danskerne, og jeg venter stadig på den afklaring. Vi skal også huske, at det er Socialdemokratiet, der tidligere har foreslået, at statsborgerskaber skal kunne frakendes ved personfarlig kriminalitet – noget, som konventionerne også har sat en stopper for. Senest har Socialdemokratiets udlændingeordfører, hr. Frederik Vad, udtalt sig i negative vendinger om konventioner. Så jeg synes ærlig talt, at vi har hørt nok snak. Lad os se at få afklaret vores manøvrerum i forhold til konventionerne, så vi kan stille Danmark og danskerne i den bedste position. Når det er sagt, er vi ikke der, hvor vi på baggrund af beslutningsforslaget her vil udtræde af statsborgerretskonventionen. Alt skal gå ordentligt til, og Danmark skal naturligvis leve op til internationale forpligtelser. Men lad os nu udfordre og undersøge vores handlerum, som jeg har opfordret til, og som jeg håber regeringen og ministeren vil handle på. Tak for ordet."
Brigitte Klintskov Jerkel/video_41_start_4-02-44.mp4,"Tak. Først og fremmest er det jo det, at Danmark har forpligtet sig til at leve op til de internationale forpligtelser. Jeg synes også, at det skal ses i en større sammenhæng, hvor vi som et lille land nu kan være med til at påvirke beslutninger. Og så har konventioner gennem tiderne jo også givet befolkningen nogle folkeretlige rettigheder. Det skal man jo også huske på i forhold til forskellige konventioner. Jeg vil også sige, at jeg har stillet spørgsmål til ministeren omkring, hvilke konsekvenser det ville få, hvis Danmark trådte ud af konventionen, og det afventer jeg så at få et svar på fra ministeren på et eller andet tidspunkt."
Charlotte Bagge Hansen/video_40_start_1-59-38.mp4,"Tak for ordet. Før jeg indleder min tale, vil jeg lige starte med at sige noget af det, jeg har hørt ministeren sige. Ministeren er meget åben over forkonkreteforslag på det her område. Det her område med miljø og tilpasning og samarbejde med kommunerne ligger regeringen rigtig meget på sinde, så jeg bliver simpelt hen nødt til at korrigere SF's ordfører på det her område. Det er simpelt hen ikke korrekt, hvad der bliver sagt. Regeringen har ikke på noget som helst tidspunkt sagt, at den ikke vil tage en samtale om det her. Det har hverken den socialdemokratiske ordfører, ministeren eller Venstres ordfører gjort. Lad mig starte med at sige, at vi deler ambitionen om at give kommunerne mere frihed og styrke deres rolle i den grønne omstilling. Det er afgørende, at kommunerne har de nødvendige redskaber til at arbejde for at sikre rent drikkevand, fremme biodiversiteten, reducere klimabelastningen og beskytte vores kystområder. Derfor vil jeg også meget gerne være med til at drøfte konkrete initiativer på området. Dog mener vi, at kommunerne allerede har betydelige redskaber til rådighed for at fremme den grønne omstilling. F.eks. har de mulighed for at arbejde med drikkevandsbeskyttelse og vindenergi på land. Desværre er det bare ikke altid, at disse muligheder bliver udnyttet godt nok og til fuld tilfredsstillelse ude i alle kommuner. Så selv om frivillighed normalt er den bedste løsning, kan det også på nogle områder være nødvendigt at indføre klare og ensartede krav til kommunerne, særlig når det eksempelvis handler om at beskytte områderne omkring drikkevandsboringer. Vi skal nemlig sikre, at vi beskytter vores drikkevand, også for de kommende generationer. Ministeren har allerede været inde på en hel del områder, hvor der er igangsat initiativer. Så selv om vi i Moderaterne anerkender behovet for at give kommunerne handlefrihed, mener vi, at det er vigtigt at balancere det med klare retningslinjer og krav. Det er vores ansvar – det er kun vores ansvar – at sikre, at den grønne omstilling skrider frem på en bæredygtig og effektiv måde, og det er jo noget, vi skal gøre i fællesskab herinde i Folketinget, alle 179 medlemmer, i samarbejde med alle vores dygtige kommunalpolitikere ude i det ganske danske land. Derfor må vi også stemme imod dette beslutningsforslag. Vi tror på, at vores nuværende initiativer og planer er vejen frem for at opnå dette mål. Vi er altid – altid! – åbne for bedre løsninger og konkrete forslag fra alle vores kollegaer herinde, så vi kan finde den bedste løsning for vores miljø. Jeg ser frem til at fortsætte dialogen om, hvordan vi bedst kan sikre en grønnere fremtid. Tak for jeres opmærksomhed. Moderaterne kan ikke støtte forslaget."
Charlotte Bagge Hansen/video_40_start_2-08-20.mp4,"Nu bliver jeg ikke så berørt af det, ordføreren siger, fordi jeg ved, at ordføreren kender mig godt nok til at vide, at magtarrogance nok ikke lige er det, der ligger i min dna. Det, jeg opfordrer til, er: Kom med flere konkrete eksempler at sætte ind. For der er jo nogen herinde, der er uenige i, at vi skal sætte ind med alle de parametre, som vi kan, i den krise vi er i lige nu. Så kom med noget konkret. Der er ikke noget, der bliver fejet af bordet. Vi tager det hele op, og der bliver arbejdet hårdt og konstruktivt ovre i ministeriet. Så kom med jeres forslag."
Erling Bonnesen/video_40_start_2-31-17.mp4,"Tak for det. Der er et par korte bemærkninger. Jeg skal lige sige, at det er fuldstændig korrekt, at lyset i lampen var gået ud, men jeg kan konstatere, at den lyser igen. Jeg vil i første omgang foreslå, at vi prøver at køre videre, og jeg beder ordføreren lige blive stående, for der er et par korte bemærkninger, og at vi så lige får en lagt 30 sekunder på, hvis det ikke virker. Det er fejlanmeldt, og bare det, at det foreløbig har virket at anmelde den, må vi sige er godt. Vi fortsætter, og der er en kort bemærkning til fru Birgitte Vind."
Erling Bonnesen/video_40_start_2-57-57.mp4,(Talen er under udarbejdelse)
Erling Bonnesen/video_40_start_3-30-04.mp4,"Som jeg var inde på før, og det vil jeg henvise til igen, har jeg tillid til, at lovgivningen, og også dem, der sidder og skal lave de faglige vurderinger, selvfølgelig tager højde for ny viden osv., sådan at den viden, der er til rådighed, indgår i at tilvejebringe det beslutningsgrundlag, der skal etableres for at træffe en beslutning om, om der kan laves en parkeringsplads eller et byggeri, eller hvad der kan laves af aktiviteter på den pågældende matrikel, som der ønskes lavet nogle aktiviteter på. Skulle det modsatte vise sig, har ministeren også tilkendegivet, at så kigger vi selvfølgelig på det, men foreløbig har jeg som udgangspunkt tillid til de fagfolk, der tager sig af det."
Erling Bonnesen/video_40_start_3-31-26.mp4,"Tak for det. Jeg er udmærket bekendt med, at også SF lavede en indsats. Det gør de fleste miljøministre uanset partifarve for at prøve at håndtere nogle af de her problemer. For der er jo ikke nogen, der er uenige i, at sådan nogle forureningsting skal man forsøge at gøre noget ved. Men jeg henviste også sådan bare lige med et passende lille venligt vink til, at selv om SF også har været i regering, var der ikke bare blevet ryddet totalt op. Men vi deler jo alle sammen ambitionen om, at når man deltager i finanslovsforhandlinger, uanset om man er regeringsparti eller oppositionsparti, så prøver man at få mest mulig hastighed på de her ting."
Fie Hækkerup/video_44_start_6-32-18.mp4,"I virkeligheden tænker jeg det her sådan, at vi alle sammen er interesserede i, at medarbejderne kan kommunikere ordentligt med de ældre borgere. Det handler om, hvordan man anskuer og løser det her problem bedst muligt med de sprogbarrierer, som der kan være, hvis man har problemer med sproget – det kan også være ordblindhed og alle mulige andre ting, som besværliggør hverdagen. Der mener jeg, at man i højere grad løser det ved f.eks. at lave sprogstøtte, ved at lave sprogscreening og ved at opkvalificere underviserne til at kunne undervise i flersprogspædagogik end ved at indføre nationale standarder og mere detailstyring og kontrol, som er noget af det, som jo lige præcis tager tiden væk fra borgerne. Det er jo al den her detailstyring, al den her kontrol og det her tilsyn, som tager tiden væk den tid, der skal bruges til trygheden i ansigt til ansigt-kontakten."
Fie Hækkerup/video_44_start_6-34-02.mp4,"»Flersprogspædagogik« kommer fra vores social- og sundhedsuddannelsesudspil, så det er mig bekendt ikke i ældreloven, men det fremgår i hvert fald af sosu-udspillet. I virkeligheden går jeg ikke så meget op i, hvad det er for nogle ord, vi skriver i udspillene. Jeg går mere op i, om vi får skabt nogle løsninger, der faktisk virker derude lokalt. Det, jeg egentlig prøvede at sige med det, var, at jeg sådan synes, det er fornuftigt, at vi f.eks. uddanner vores undervisere på skolerne til at kunne løfte de sprogligt svage elever."
Fie Hækkerup/video_44_start_6-37-21.mp4,"Jo, jeg vil sige det sådan, at det spørgsmål, som rejses her, i forhold til udenlandsk arbejdskraft, selvfølgelig også skal vejes ind i den videre proces med det her forslag. Det tænker jeg sådan set er en helt naturlig del af det. Jeg synes, som ministeren var inde på, at man med rette kunne kigge mod f.eks. Lolland, som allerede har gjort sig gode erfaringer med at tage imod udenlandsk arbejdskraft."
Hans Kristian Skibby/video_40_start_0-08-46.mp4,"Tak. Jeg vil gerne lige allerførst sige, at hvis det skulle være en god og grundig gennemgang af Socialdemokraternes ordfører, er der andre gange, hvor jeg i hvert fald har oplevet den endnu mere grundig, vil jeg gerne sige. Men jeg anerkender selvfølgelig også, at det ikke er det mest vidtgående lovforslag, som vi behandler her i dag. Det er et mindre lovforslag, som sikrer en bedre præcisering af borgernes retsgrundlag i forhold til miljøskader. Det er jo sådan, hvis man kigger på Europa-Kommissionen, at så har den jo konkluderet, at dele af det her miljøansvarsdirektiv ikke var tilstrækkelig gennemført i dansk lovgivning, og at det ikke var klart præciseret, hvilke regler og vilkår der var i forhold til den enkelte borger. Det er det, der forsøges gjort med det her lovforslag, og det støtter Danmarksdemokraterne."
Hans Kristian Skibby/video_40_start_2-34-32.mp4,"Tak, hr. formand. Jeg reflekterer lidt over det, som ordføreren var inde på og sagde et par gange i sin ordførertale med, at det jo var vigtigt, at man satte kommunerne fri. Der kunne jeg godt tænke mig at spørge Enhedslistens ordfører lidt til det her med, at når man vurderer, at man kan sætte kommuner fri, vil det jo i nogle tilfælde betyde, at det vil være til ugunst for private borgere og lokale virksomheder. For når man giver en frihed til nogen, tager man som regel en rettighed fra andre. Ordføreren var jo selv inde på det her med planloven. Der er der høringsret i mange sager, hvis man er nabo og pårørende. Der er høringsperioder og klageinstanser, og der er spørgsmålet om opsættende virkning eller ej. Der vil jeg bare der gerne sådan for en god ordens skyld spørge ind til Enhedslistens vurdering: Når man slipper nogen fri, hvad så med dem, der bliver bundet?"
Hans Kristian Skibby/video_40_start_3-41-16.mp4,"Tak for spørgsmålet. Jeg er sådan set enig i, at det kan man allerede gøre i dag, og når der kommer individuelle ansøgninger om at bygge boliger eller erhverv eller for den sags skyld kompensation, så viser man jo også skyldigt hensyn til alle de faktorer, der gør sig gældende i området, det kan være lokalplaner, og det kan være registrerede fortidsproblemer, herunder jordbundsforhold og alt muligt andet. Så er det jo også sådan, at man, hvis man ender med at give en byggetilladelse, kan gå ind og stille nogle krav i forhold til sandpuder og jordmembraner og alt muligt andet, hvilket kan sikre, at man tager hensyn til de ting, som der nu kan tages hensyn til, i forbindelse med en given ansøgning."
Kaare Dybvad Bek/video_41_start_0-55-22.mp4,"Jo, det er jeg sådan set enig i. Det har jeg også sat i gang. Jeg er blevet kontaktet af måske nogle af de samme gode folk, som har kontakt til ordføreren, i forhold til at der er nogle udfordringer på det her område, og det mener jeg da bestemt at vi skal kigge på. Man kan jo altid diskutere, hvad en sport er, men så længe vi klassificerer bl.a. dart, skak og andre ting som sport, kan jeg heller ikke se, hvorfor man ikke skulle klassificere e-sport under samme kategori. Så det er jeg i gang med. Men jeg synes også, at det er fair nok lige at give det lidt tid, så man kan undersøge, hvad problematikken er, og hvilke procedurer der er gået galt, siden folk oplever det på den måde, før vi sådan drager en konklusion om, hvad der skal gøres ved det."
Kaare Dybvad Bek/video_41_start_0-58-18.mp4,"Tak for spørgsmålet. Jeg er enig i, at tallene fra Frontex understreger, at vi står i en migrationskrise. Vi skal tilbage til 2016 for at finde et år, hvor der var flere spontane asylansøgere, end der er i år. Det har enormt store konsekvenser. For det første er der tusindvis af mennesker, som dør på vej over. For det andet bliver rigtig mange mennesker, som egentlig har større asylkrav eller mere væsentlige asylkrav, efterladt i nærområderne. Det er derfor, vi i regeringen arbejder for et nyt europæisk asylsystem, hvor den irregulære migration bliver stoppet og man i stedet får en ordnet måde at søge asyl i Europa på. Jeg er tilfreds med, at der efter 3 års svære forhandlinger her kort før jul blev opnået enighed om hovedelementerne i den nye migrations- og asylpagt. Vi får sikkerheden styrket ved de ydre grænser. Der kommer bedre screening, obligatoriske grænseprocedurer, bedre registrering af asylansøgere og irregulære migranter, og vi arbejder også for at bekæmpe irregulær migration og smuglernetværk gennem styrket kontrol med EU's ydre grænser. Vi bidrager hvert år fra Danmarks side til Frontex med personel og kapacitetsbidrag i form af bl.a. fly, helikoptere, patruljebåde og køretøjer til de lande, der ligger i grænseområderne. Men det er vores klare overbevisning i regeringen, at der ud over de nuværende indsatser er brug for at forebygge og adressere den irregulære migration helt grundlæggende, og det er derfor, vi ønsker, at der skal laves en aftale med et tredjeland uden for EU. Det bruger jeg meget af min tid på at tale om og på at overbevise andre europæiske lande om, og jeg føler faktisk også, hvis jeg skal være ærlig, at der er en del, som lytter til det, og som også er interesseret i at ændre grundlæggende på den måde, som migrationen foregår til Europa på. Tak for ordet."
Karina Lorentzen Dehnhardt/video_44_start_4-00-48.mp4,"Jeg må sige, at jeg er målløs over det argument, altså hvis det datagrundlag, vi har nu, ikke er godt nok, og hvor det i virkeligheden omfatter flere domme, end man havde fra 2000 og til 2002, hvor langt færre blev sigtet og langt færre blev dømt for voldtægt. Hvis det ikke er godt nok, er det, som ordføreren så nu står og siger, at der er forkerte sigtelser eller forkerte domme? Jeg prøver bare at forstå det. Ordføreren siger, at det grundlag, vi har nu, ikke er godt nok. Hvad er det præcis der er i vejen med det grundlag? Sker der forkerte sigtelser, eller forekommer der forkerte domme? Eller hvad er det, ordføreren prøver at sige, når grundlaget ikke er godt nok til at kunne lave en undersøgelse?"
Karina Lorentzen Dehnhardt/video_44_start_4-44-22.mp4,"Jamen det er mig, der takker. Og jeg kan konstatere, at vi er et stort mindretal, der trods alt ønsker at sætte det her i gang. Det håber jeg at regeringen lytter til, ligesom jeg også håber, at regeringen lytter til de mange organisationer, som også peger på, at vi har behov for den her undersøgelse, herunder faktisk også Mandecentret. Jeg synes jo, at det er interessant, at det både er kvindeorganisationer og organisationer, der repræsenterer mænd, som mener, at vi har brug for mere viden på det her område. Jeg synes faktisk, at vi skylder ofrene at sikre, at det kommer."
