name,text,duration,start_clock,end_sec,start_sec,start_min,end_min,video_id
Peter Hummelgaard,"Men de oplysninger kan man jo læse. Altså, de er fuldt tilgængelige og kommer hver evig eneste år som en del af Danmarks Statistiks årlige rapport om kriminaliteten i hvert enkelt år. Så de oplysninger er jo tilgængelige, og det er i øvrigt en meget relevant og vedholdende del af den offentlige debat. Men at ville gøre det, som hr. Mikkel Bjørn foreslår, nemlig at detailregulere, hvordan politiet i konkrete situationer udsender signalementer ud fra en politifaglig vurdering, i relation til hvad der skal til for at kunne finde mistænkte for forbrydelser, er jeg simpelt hen ikke enig i.",39.0,15:51:48,10378,10339,2:52:19,2:52:58,44
Leif Lahn Jensen,Så er det fru Mette Thiesen.,1.0,15:52:27,10379,10378,2:52:58,2:52:59,44
Mette Thiesen,"Tusind tak. Det her handler jo grundlæggende set om, at danskerne ikke bliver holdt hen i uvished, at danskerne kan vide, hvad det egentlig er, den forfejlede udlændingepolitik har gjort af skade på vores dejlige Danmark. Desværre er der en meget, meget bred – tilsyneladende også herinde i Folketinget – enighed om, at de skal blive ved med at blive holdt hen i uvished. For hvorfor er det, der skal stå, at det er en gruppe unge, der har knivstukket eller gruppevoldtaget? Vi sidder alle sammen og tænker: Vi ved udmærket godt, hvem det er, der begår sådan nogle bestialske forbrydelser. Vi kan som sagt, som ministeren selv siger, læse det i Danmarks Statistik. Hvorfor må danskerne, der sidder og læser lokalaviser og landsdækkende aviser, ikke få sandheden at vide? Det er bare det, vi spørger om. Det er meget underligt egentlig.",53.0,15:52:28,10432,10379,2:52:59,2:53:52,44
Leif Lahn Jensen,Ministeren.,1.0,15:53:21,10433,10432,2:53:52,2:53:53,44
Peter Hummelgaard,"Altså, jeg ved ikke, om der er en eller anden offentlig misforståelse eller et eller andet, eller i hvert fald en misforståelse fra Dansk Folkepartis side: Der er joingen, der har nogen interesse i at tilbageholde relevante oplysninger for danskerne. Der eringen, der ønsker, at det her ikke skal være en del af den offentlige debat. Det er også årsagen til, at vi alle sammen – både mit eget parti og mig selv og i øvrigt også de to medlemmer fra Dansk Folkeparti, der er til stede i salen – jo også bruger den statistik til at rejse den debat. Men at detailregulere, hvordan politiet skal udsende signalementer, når man efterlyser en person, er jeg simpelt hen ikke enig i at man skal.",41.0,15:53:22,10474,10433,2:53:53,2:54:34,44
Leif Lahn Jensen,Tak. Så er det spørgeren.,1.0,15:54:03,10475,10474,2:54:34,2:54:35,44
Mette Thiesen,"Jeg kan sådan set godt fortælle ministeren, hvorfor det er relevant. Det er først og fremmest relevant, at danskerne ikke bare tror – når de sidder og læser ganske almindelige aviser – at det er ganske almindelige danske unge, der begår nogle af de her bestialske forbrydelser, for det er det ikke. Nogle af os, der ligesom kender realiteterne, ved udmærket godt, at det er det ikke. Men det er der rigtig mange danskere derude der ikke ved. Jeg sidder også og tænker: Hvorfor er det, at man ikke skriver det mere tydeligt? Hvad er det, man ikke vil have danskerne skal vide? Er der stadig væk en eller anden form for berøringsangst derude? Det er sådan set bare det, vi vil gøre op med.",35.0,15:54:04,10510,10475,2:54:35,2:55:10,44
Leif Lahn Jensen,Ministeren.,1.0,15:54:39,10511,10510,2:55:10,2:55:11,44
Peter Hummelgaard,"Jeg tror, det er meget vigtigt at få slået fast, at politiet udsender et signalement til offentligheden, når man vurderer, at det signalement kan bidrage til, at man kan finde en person. Det signalement er jo baseret på de vidneafhøringer, der har været i den konkrete situation. Det er jo ingenlunde i politiets interesse så at tilbageholde vigtig viden om, hvem en konkret person er, når man udsender et signalement. Men ofte vil det jo afspejle sig i, at man har begrænsede oplysninger om, hvem det er, man leder efter. For jo mere detaljerede oplysninger, man har, jo bedre ved man, hvem man leder efter, og så har man allerede noget at gå efter, hvorfor det heller ikke er i alle forbrydelsestilfælde, at der overhovedet udsendes et signalement.",44.0,15:54:40,10555,10511,2:55:11,2:55:55,44
Leif Lahn Jensen,"Tak til ministeren. Der er ikke flere korte bemærkninger. Jeg synes lige, vi jeg skal love hinanden at minde hinanden om, at der skal være en værdig tone i debatten, selv om det for mange også er en svær debat. Vi siger tak til ministeren. Så er det hr. Bjørn Brandenborg fra Socialdemokratiet.",19.0,15:55:24,10574,10555,2:55:55,2:56:14,44
Bjørn Brandenborg,"Tak for ordet, formand. Beslutningsforslaget lægger op til to ting, nemlig for det første, at politiet altid skal offentliggøre præcise signalementer af konkrete personer i forbindelse med udgivelsen af døgnrapporter eller ved omtale af specifikke hændelser over for offentligheden eller medier, og for det andet, at politiet og domstolene skal journalisere et præcist signalement af anholdte, mistænkte, sigtede, tiltalte og dømte personer. Som begrundelse for forslagene skriver forslagsstillerne bl.a., at det er vigtigt, at borgerne har adgang til præcise og nuancerede og omfattende oplysninger om alle former for kriminalitet og personerne bag. Det vil ifølge forslagsstillerne danne grundlag for en mere informeret og objektiv debat om indvandring, kriminalitetsbekæmpelse og samfundssikkerhed. Vi skal til enhver tid kunne tage en åben og konstruktiv debat om den kriminalitet, vi ser i vores samfund. Det er noget, som påvirker os alle, og det er i vores fælles interesse at forstå, hvad årsagerne er, og få diskuteret udfordringerne og løsningerne. Så langt er vi enige med forslagsstillerne. Men når vi nu ikke støtter forslaget, for det gør vi ikke, er det, fordi vi i Socialdemokratiet ikke mener, at det, der foreslås her, er noget, der vil bidrage til at tjene det formål. Politiet bruger offentliggørelse af signalementer som en del af deres efterforskning. Det gør de selvfølgelig kun, når der er grundlag for det. Politiet og domstolene journaliserer de oplysninger, som er relevante for en sag. Hvis et signalement har haft betydning for en konkret sag, så journaliseres det. Vi kan ikke se, hvordan det at skrue op for offentliggørelsen og journaliseringen af en masse signalementer vil kunne bidrage til noget til den debat. Så vi støtter ikke forslaget. Tak for ordet.",99.0,15:55:43,10673,10574,2:56:14,2:57:53,44
Leif Lahn Jensen,Tak til ordføreren. Der er en kort bemærkning til hr. Mikkel Bjørn.,3.0,15:57:22,10676,10673,2:57:53,2:57:56,44
Mikkel Bjørn,"Jeg vil godt rette en misforståelse, der blev bragt af ministeren før – jeg tænker, det kan være, at ordføreren kan give det videre til ministeren – nemlig at vi allerede skulle kunne se, hvem der begår de enkelte forbrydelser i eksempelvis Danmarks Statistik. Nej, det kan vi ikke. Det, vi kan se i Danmarks Statistik, er, at eksempelvis efterkommere fra Libanon har et kriminalitetsindeks for voldsforbrydelser på 565, hvilket vil sige en overhyppighed på 465 pct. Det er sådan nogle ting, vi kan se. Og vi kan se, at efterkommere fra Somalia har et kriminalitetsindeks på 587, hvilket vil sige en overhyppighed på 487 pct. Det er rigtigt, at det kan vi se i Danmarks Statistik; men hvem der begår den konkrete kriminalitet ude på gaden; hvem der begår den konkrete gruppevoldtægt eller overfald eller ydmygelsesvold eller skyder med fyrværkeri efter brandbiler og politi – alle de ting, som vi godt ved, hvem det er, der begår – kan vi ikke læse i lokalmedierne eller i politiets rapporter, fordi ministeren og partier her i Folketinget insisterer på at holde den sandhed hemmelig for befolkningen.",64.0,15:57:25,10740,10676,2:57:56,2:59:00,44
Leif Lahn Jensen,Ordføreren.,1.0,15:58:29,10741,10740,2:59:00,2:59:01,44
Bjørn Brandenborg,"Jeg ved ikke, om det var sådan et forsøg på et spørgsmål to til ministeren, eller om det var et spørgsmål til mig heroppe, men jeg er sådan set enig i det, der allerede er blevet sagt i debatten. Jeg mener ikke på nogen måde, at der er nogen, der forsøger at feje noget af den her debat ind under gulvtæppet, og jeg synes faktisk, at ordføreren begår en fejl i det, ordføreren siger. For jeg synes faktisk, at det er lykkes for nogle af vores lokale medier at beskrive nogle af de udfordringer, der er, bl.a. at der er for mange indvandrere, der begår alvorlig kriminalitet. Jeg synes, at de er nogle af dem, der er gode til at beskrive, når der bliver begået alvorlige forbrydelser i deres lokalsamfund, herunder også hvad det er for en etnicitet, folk har, osv., fordi det ikke er et problem. Det, der vel er baggrunden for den her debat, skulle være, at der er et problem med, at vores politi ikke gør det i dag, og det er jeg heller ikke enig i; for politiet gør det i de tilfælde, hvor det er relevant for efterforskningen.",46.0,15:58:30,10787,10741,2:59:01,2:59:47,44
Leif Lahn Jensen,Spørgeren.,4.0,15:59:16,10791,10787,2:59:47,2:59:51,44
Mikkel Bjørn,"Men deterrelevant. Det er relevant for samfundsdebatten, og det er relevant for befolkningens viden om, hvad der er årsagen og ophavet til den voldsomme kriminalitet, som man oplever ude på gaden. Derfor skal borgeren selvfølgelig kunne vide, hvem det er, der har begået den her kriminalitet. Det er rigtigt, at lokalmedierne løfter et stort ansvar i forhold til at berette om de her ting, men meget ofte kan de ikke berette om det, fordi politiet med ministerens hjemmel i retsplejeloven insisterer på at holde de her oplysninger hemmelige for befolkningen. Det er det, vi i Dansk Folkeparti ønsker at gøre op med.",32.0,15:59:20,10823,10791,2:59:51,3:00:23,44
Leif Lahn Jensen,Ordføreren.,1.0,15:59:52,10824,10823,3:00:23,3:00:24,44
Bjørn Brandenborg,"Det er jeg – nok ikke overraskende – heller ikke enig i. Jeg tror, at det, som ministeren og jeg også selv insisterer på, er jo, at politiet har mulighed for at passe sit arbejde og gøre det på den måde, som politiet også selv synes er den bedste måde at gøre det på, og det er jo bl.a. at bruge signalementer. Jeg ved ikke, hvorfra ordføreren har fået den der forståelse af, at man ikke gør det. Altså, jeg synes, at man i flæng heldigvis ser, at politiet også bruger, hvordan folk ser ud, hvilken etnicitet de har osv., når de laver signalementer, fordi de netop skal bruges til at kunne opklare nogle af de meget alvorlige forbrydelser.",33.0,15:59:53,10857,10824,3:00:24,3:00:57,44
Leif Lahn Jensen,Så er det fru Mette Thiesen.,2.0,16:00:26,10859,10857,3:00:57,3:00:59,44
Mette Thiesen,"Tusind tak. Jeg vil egentlig gerne rose ordføreren for, at ordføreren netop nævner det her med, at man nogle gange ser, heldigvis, at lokale medier er ret meget fremme i skoene i forhold til at beskrive, når det eksempelvis er en gruppe indvandrerdrenge, der har overfaldet nogen, at det er nogle indvandrerdrenge, som har knivstukket nogen, og at det er nogle indvandrerdrenge, som har gruppevoldtaget nogen. Det ser vi heldigvis nogle gange. Vi ser det desværre ikke i de mere brede medier i langt størstedelen af tilfældene, og derfor bør det jo være fuldstændig åbent, hver eneste gang det her bliver begået. For når vi sidder og læser også i nogle af de større aviser, at nu er der en gruppe unge, som har begået et umotiveret overfald på nogle danske drenge på vej hjem fra byen, knivstukket dem, bestjålet dem og måske også voldtaget nogle piger osv., ved vi jo udmærket godt, hvem det er, men i rigtig mange tilfælde er det, som om man går lidt let hen over, hvem det egentlig er, det drejer sig om. Vi synes sådan set bare, at vi skylder danskerne, at alle danskere også får øjnene op for, hvad det er for massive skader, den forfejlede udlændingepolitik har påført vores land.",69.0,16:00:28,10928,10859,3:00:59,3:02:08,44
Leif Lahn Jensen,Tak. Så er det ordføreren.,3.0,16:01:37,10931,10928,3:02:08,3:02:11,44
Bjørn Brandenborg,"Tak for spørgsmålet. Først vil jeg i forhold til lokalmedier sige, at ja, jeg synes bl.a., at de også her løfter en vigtig opgave. Det synes jeg sådan set de lykkes med at gøre på mange forskellige områder, nemlig med at beskrive meget præcist, hvad der foregår i deres lokalsamfund, fordi det typisk også er dem, der bor og lever der. En anden del er jo nok mere, at det godt kan være en kritik af, at nogle af de store medier nogle gange ikke beskriver sager godt nok, og som ordføreren ville ønske det. Jeg synes også nogle gange, jeg ser nogle sager, som jeg synes medierne burde beskæftige sig mere med, end hvad de lige gør, men jeg tror ikke, jeg kommer til sådan at kunne blande mig i den journalistiske stramning eller vinkling af det. Det konkrete, altså det, der vel er omdrejningspunktet for det her, er, hvorvidt der er mulighed for at få indsigt i, om der er et problem, hvis folk har en bestemt etnicitet eller hudfarve, og om de begår en bestemt form for kriminalitet. Er det noget, man ikke vil lægge frem? Det er det jo ikke. Altså, det er noget, som politiet bruger, noget, som domstolene beskriver, og det er noget, som vores medier heldigvis også i vidt omfang bringer.",60.0,16:01:40,10991,10931,3:02:11,3:03:11,44
Leif Lahn Jensen,Spørgeren.,2.0,16:02:40,10993,10991,3:03:11,3:03:13,44
Mette Thiesen,"Nogle gange, siger ordføreren. Nogle gange er det da også mit indtryk, at de lokale medier faktisk selv kontakter politiet og spørger til det. Det her skal være sådan hver eneste gang. Hver eneste gang skal der ikke stå »en gruppe unge«. Vi ved udmærket godt, hvad det er for nogle afstumpede mennesker, der begår de har forbrydelser. Altså, vi, der ved en lille smule, kender lidt til det og kender til tallene, kan jo se det, men det skal jo være hver eneste gang. Danskerne skal da ikke være et sekund i tvivl om, at der er påført vores dejlige land fuldstændig massiv skade på grund af en forfejlet udlændingepolitik. Det skal de da vide.",35.0,16:02:42,11028,10993,3:03:13,3:03:48,44
Leif Lahn Jensen,Så er det ordføreren.,1.0,16:03:17,11029,11028,3:03:48,3:03:49,44
Bjørn Brandenborg,"Jeg kan jo gentage mig selv og sige, at det mener jeg også der er mulighed for at man kan. Altså, det, som jeg forstår fru Mette Thiesen ønsker, er jo så også at bestemme, hvordan medierne skal beskrive ting i deres artikler. Det har jeg selv ikke noget ønske om, og det ved jeg ikke om der er andre regeringspartier der har et ønske om, men det kan jeg ikke forestille mig, altså at man skal bestemme, hvordan man skal beskrive konkrete sager og konkrete historier.",23.0,16:03:18,11052,11029,3:03:49,3:04:12,44
Leif Lahn Jensen,"Vi siger tak til ordføreren, og så er den næste hr. Preben Bang Henriksen fra Venstre. Velkommen.",8.0,16:03:41,11060,11052,3:04:12,3:04:20,44
Preben Bang Henriksen,"Jeg kan lige så gribe fat i det sidste, som den socialdemokratiske ordfører sagde, for det, man måske mere efterspørger, er, atmediernei højere grad beskriver etnicitet og herkomst hos de domfældte. Det er jo sådan set ikke Folketingets bord her. Jeg må gøre opmærksom på, at retsplejen i Danmark som altovervejende udgangspunkt er offentlig. Domme er offentlige. Det er flere hundrede år siden, vi havde hemmelige domme, og skulle man være helt i tvivl, kan man gå en tur i byretten og kigge på retslisterne. Så får man set, hvem det er, der er tiltalt, og jeg tror ikke, det i givet fald kræver meget fantasi at finde ud af herkomsten. Så der er jo ikke noget, der holdes skjult, men det, man ønsker, er måske, at der ligesom skal skrives et manuskript til aviserne. Det må pressen altså selv finde ud af efter min mening. Så vidt jeg kan se på forslaget her, ønsker man to ting. Den ene er, at politiet altid oplyser et præcist signalement ved udgivelse af døgnrapporter eller omtale af specifikke hændelser. Jeg må sige, at der jo står meget døgnrapporterne. Der står altså også, om det er en 13-årig dreng, der har stjålet et eller andet i en forretning, som politiet så har fået en anmeldelse om. Det vil altså sige folk, der ikke kan straffes på normal vis. Det kan være mentalt handicappede personer og lignende, som der så pludselig skal sendes et præcist signalement ud af, og det til trods for, at politiet sikkert udmærket ved, hvem det er. Der er jo lidt af en misforståelse i forhold til det her med muligheden for et signalement. Det, der står i retsplejelovens § 818, er jo, at det jo altså er et efterforskningsskridt, hvad justitsministeren også var inde på. Hvis man ved, hvem det er, så er det jo ikke det, man skal diskutere, så jeg vil sige, at forslagets første del altså betyder, at der skal signalement af alle, gamle som ældre og også dem, man i forvejen ved hvem er. Men er det så ikke sådan, at man er ude på at give en ekstra straf? Er det ikke det, vi så i givet fald skal lave om på, hvis det er det, der skal diskuteres? Den anden ting er, at regeringen skal udarbejde initiativer, som sikrer, at politi og domstole journaliserer et præcist signalement af anholdte, mistænkte, sigtede, tiltalte og dømte. Altså, jeg kan kun sige til de partier, som ellers mener, at domstolene fungerer rimelig langsomt – det tror jeg nok at de fleste af os mener – at hvis dommerne skal belastes med det her arbejde oveni, kommer det godt nok ikke til at gå hurtigere ved domstolene. Og jeg vil igen sige, som justitsministeren sagde, at i vidt omfang findes de oplysninger jo allerede i dag. Selvfølgelig skal debatten basere sig på faktuelle oplysninger, men der er jo ikke noget, der holdes skjult for folk i den her sammenhæng, så derfor mener vi ikke, der er behov for det, der anføres i beslutningsforslaget, og det får derfor ikke Venstres stemme.",195.0,16:03:49,11255,11060,3:04:20,3:07:35,44
Karsten Hønge,"Der er en kort bemærkning til hr. Mikkel Bjørn, Dansk Folkeparti.",4.0,16:07:04,11259,11255,3:07:35,3:07:39,44
Mikkel Bjørn,"Jeg ved ikke, hvor jeg skal starte. Ordføreren siger så mange forkerte ting, altså først og fremmest det her med, at det skulle være en ekstra straf, at politiet over for medier eksempelvis skal redegøre for, om det er udlændinge, der har begået en gruppevoldtægt. Det er det eneste, de skal redegøre for, og det står i forslaget, at det ikke skal være personhenførbart. Man skal bare vide, hvem det er, der har begået det. Hvilke typer er mennesker er det, der har begået den her type kriminalitet? For vi ved godt, at særlige typer af personfarlig kriminalitet særlig blivet begået af mellemøstlige indvandrere og ikke så meget af danskere og vestlige indvandrere. Så siger ordføreren, at det her ikke er Folketingets opgave. Jo, det er det da, for som ordføreren selv nævner, siger retsplejelovens § 818 jo, at det kun er i tilfælde, hvor det handler om at identificere en gerningsmand, at politiet skal opgive signalement. Og det er der, hvor vores pointe i Dansk Folkeparti ganske enkelt er, at det er relevant for samfundsdebatten at vide, hvem det er, der begår særlige typer af kriminalitet, når man eksempelvis kan læse en historie om en gruppevoldtægt begået mod en 14-årig pige.",68.0,16:07:08,11327,11259,3:07:39,3:08:47,44
Karsten Hønge,Ordføreren.,1.0,16:08:16,11328,11327,3:08:47,3:08:48,44
Preben Bang Henriksen,"I § 818, stk. 1, nr. 2, står der, at offentliggørelse skal antages at være af væsentlig betydning for efterforskningen. Det er et efterforskningsredskab, vi har fat i her. De regler, vi har i dag, er ikke regler, der kan anvendes, efter at der er afsagt dom, så på den måde skal der i hvert fald laves om. Lad mig så lige gribe fat i det, som ordføreren sagde om, at man vil have offentliggjort, hvilke typer af mennesker det er. Det får mig bare til at tænke på, hvad der skal stå. Skal der stå, at det var fem danskere? Der er meget andet, for der er også køn og alt muligt andet, der så skal offentliggøres. Skal det offentliggøres, at det er nogle danskere, to nordmænd, fire svenskere og en dansker af den og den højde osv. osv.? Skal alt det beskrives, og hvordan skal domstolene i øvrigt få tid til at lave den beskrivelse? Det samme gælder politiet, som vi fra andre debatter jo også er helt klar over er spændt hårdt for. Det nævnes jo ikke mindst fra spørgerens parti, så jeg kan ikke lige se, at man har tid til det her.",64.0,16:08:17,11392,11328,3:08:48,3:09:52,44
Karsten Hønge,Hr. Mikkel Bjørn.,0.0,16:09:21,11392,11392,3:09:52,3:09:52,44
Mikkel Bjørn,"Men ministeren har jo lige redegjort for, at hvis der er opgivet signalement, er de her oplysninger allerede journaliseret et eller andet sted. Det her handler bare om, at når medierne ringer og spørger ind til en konkret sag, så hemmeligholder man ikke specifikke oplysninger, vedrørende hvem det er, der har begået kriminaliteten. Så siger man eksempelvis, at det var to personer med mellemøstlig baggrund i mørkt tøj, og at den ene havde grønne bukser på. Det er sådan set bare det, vi i Dansk Folkeparti efterspørger med det her forslag. Det kan jeg så forstå at regeringen og ordførerens parti, Venstre, ikke er tilhængere af. Det er fair nok, men jeg synes, at det er en lidt uærlig fremlægning af, hvad det her forslag handler om.",36.0,16:09:21,11428,11392,3:09:52,3:10:28,44
Karsten Hønge,Ordføreren.,2.0,16:09:57,11430,11428,3:10:28,3:10:30,44
Preben Bang Henriksen,"Jeg hemmeligholder ikke noget. Retsplejen er ganske offentlig her i Danmark. Jeg kan godt høre på spørgeren, at man gerne have signalementerne frem, før nogen overhovedet er dømt, også selv om politiet ganske udmærket ved, hvem det er. Men så er vi jo i gang med at dømme folk før tiden, og jeg kan kun sige til ordføreren: Bare rolig, den dag dommen falder, kan man jo se, hvem det er, der bliver dømt, og drage sine konklusioner derefter.",25.0,16:09:59,11455,11430,3:10:30,3:10:55,44
Karsten Hønge,"Der er ikke flere korte bemærkninger. Tak til hr. Preben Bang Henriksen, Venstre. Næste ordfører er fru Karina Lorentzen Dehnhardt, SF.",15.0,16:10:24,11470,11455,3:10:55,3:11:10,44
